name_type,table_name,target_count
nearest_title,下文為按可呈報及經營分部之本集團收益及業績以及資產及負債之分析:,1
nearest_title,下文載列本集團來自與客户訂立合約的收益分類:,1
nearest_title,"下表中,收入按主要產品和收入確認時間分類。",1
nearest_title,下表分別載列2025年及2024年按類型劃分的收入絕對金額及佔總收入的百分比:,1
nearest_title,下表分別載列2025年及2024年第一季度按類型劃分的收入絕對金額及佔總收入的百分比:,1
nearest_title,下表分別載列2025年第一季度及2024年第四季度按類型劃分的收入絕對金額及佔總收入的百分比:,1
nearest_title,下表列出了在回顧期內按主要產品類型劃分的主要經營附屬公司收入細分:,1
nearest_title,下表列出本集團收入按業務分部的構成及變動情況:,1
nearest_title,下表列明按須予呈報之營運分部劃分的本集團收入及業績分析:,1
nearest_title,下表列示2025年和2024年各項經營收入的金額和變化率:,1
nearest_title,下表列示了於所示期間本行各業務分部的營業收入情況。,1
nearest_title,下表列示我們按訂閱型SaaS業務及交易型SaaS業務中各類產品劃分的收入明細:,1
nearest_title,下表列示截至二零二四年十二月三十一日止六個月就呈報分類提供予首席營運決策人之分類業績及其他分類項目。,1
nearest_title,下表列示截至所示期間本行各業務分部的營業收入總額。,1
nearest_title,"下表列示於當前報告期間內確認的收益中與結轉的合約負債有關的數額,以及與於過往年度履行的履約責任有關的數額。",1
nearest_title,下表列示本集團截止2024年12月31日及2023年12月31日止兩個年度按產品劃分的銷售詳情:,1
nearest_title,下表呈列二零二五年及二零二四年本公司按產品類別劃分的收入確實金額及百分比:,1
nearest_title,下表呈列按合同分類的收入:,1
nearest_title,下表呈列本集團可呈報分類之收入及業績:,1
nearest_title,下表呈列本集團於截至2024年及2025年12月31日止年度的淨收入。,1
nearest_title,下表呈列本集團經營分類截至二零二五年及二零二四年十二月三十一日止年度的收入及業績。,1
nearest_title,下表所示為2025、2024及2023年按業務分部的收入分析:,1
nearest_title,"下表披露截至二零二五年十二月三十一日及二零二四年十二月三十一日止年度,按經營分類的收益及溢利資料。",1
nearest_title,下表按主要地域市場、主要產品及服務及收入確認時間分類收入。下表亦包括與本集團須呈報分部收入分類的對賬。,1
nearest_title,下表按主要產品及服務類別、收入確認時間及主要地理市場對收入進行拆解披露。,1
nearest_title,下表按業務分部載列我們於截至二零二五年及二零二四年十二月三十一日止年度的收益:,1
nearest_title,"下表提供截至2025年6月30日止六個月期間淨收益項目的明細,與去年同期的同一項目相比:",1
nearest_title,下表為本集團可呈報及經營分類的收入及業績分析:,1
nearest_title,下表為本集團可呈報經營分部的收入及業績分析:,1
